shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
10001,43.438459,-80.501636,390005
10001,43.438459,-80.501636,400001
10001,43.438449,-80.501672,400002
10001,43.438363,-80.501873,400003
10001,43.438085,-80.502317,400004
10001,43.437769,-80.502649,400005
10001,43.437359,-80.502918,400006
10001,43.437214,-80.502970,400007
10001,43.436835,-80.503192,400008
10001,43.436629,-80.503491,400009
10001,43.436629,-80.503491,410001
10001,43.436550,-80.503608,410002
10001,43.436239,-80.504079,410003
10001,43.435838,-80.504812,410004
10001,43.435228,-80.505918,410005
10001,43.435228,-80.505918,420001
10001,43.434471,-80.507291,420002
10001,43.434186,-80.508017,420003
10001,43.434111,-80.508233,420004
10001,43.434111,-80.508233,430001
10001,43.434047,-80.508412,430002
10001,43.433448,-80.510096,430003
10001,43.433194,-80.510806,430004
10001,43.433194,-80.510806,440001
10001,43.432093,-80.513889,440002
10001,43.432093,-80.513889,450001
10001,43.431879,-80.514488,450002
10001,43.431425,-80.515745,450003
10001,43.431055,-80.516789,450004
10001,43.430818,-80.517283,450005
10001,43.430579,-80.517595,450006
10001,43.430515,-80.517698,450007
10001,43.430515,-80.517698,460001
10001,43.430343,-80.517976,460002
10001,43.429800,-80.519520,460003
10001,43.429641,-80.520028,460004
10001,43.429604,-80.520197,460005
10001,43.429604,-80.520197,470001
10001,43.429405,-80.521111,470002
10001,43.429285,-80.521693,470003
10001,43.429099,-80.522581,470004
10001,43.428732,-80.523599,470005
10001,43.428472,-80.524283,470006
10001,43.428472,-80.524283,480001
10001,43.427902,-80.525783,480002
10001,43.427634,-80.526490,480003
10001,43.427634,-80.526490,490001
10001,43.427540,-80.526739,490002
10001,43.427111,-80.527831,490003
10001,43.426675,-80.527507,490004
10001,43.426675,-80.527507,500001
10001,43.426157,-80.527123,500002
10001,43.425992,-80.526960,500003
10001,43.425749,-80.526502,500004
10001,43.425685,-80.526423,500005
10001,43.425685,-80.526423,510001
10001,43.425610,-80.526327,510002
10001,43.425367,-80.526138,510003
10001,43.424709,-80.525703,510004
10001,43.424381,-80.525479,510005
10001,43.424075,-80.525286,510006
10001,43.423777,-80.524970,510007
10001,43.423777,-80.524970,520001
10001,43.423527,-80.524705,520002
10001,43.423112,-80.524244,520003
10001,43.422943,-80.524014,520004
10001,43.422807,-80.523747,520005
10001,43.422706,-80.523452,520006
10001,43.422644,-80.523138,520007
10001,43.422644,-80.522706,520008
10001,43.422644,-80.522706,530001
10001,43.422644,-80.521945,530002
10001,43.422580,-80.521532,530003
10001,43.422499,-80.521369,530004
10001,43.422182,-80.520959,530005
10001,43.421923,-80.521410,530006
10001,43.421799,-80.521787,530007
10001,43.421600,-80.522353,530008
10001,43.421600,-80.522353,540001
10001,43.421443,-80.522803,540002
10001,43.421095,-80.523781,540003
10001,43.420740,-80.524791,540004
10001,43.420643,-80.525059,540005
10001,43.420643,-80.525059,550001
10001,43.420009,-80.526802,550002
10001,43.419759,-80.527518,550003
10001,43.419546,-80.528117,550004
10001,43.419483,-80.528467,550005
10001,43.419494,-80.528710,550006
10001,43.419494,-80.528710,560001
10001,43.419505,-80.528945,560002
10001,43.419653,-80.529339,560003
10001,43.419857,-80.529697,560004
10001,43.419688,-80.529907,560005
10001,43.419550,-80.530155,560006
10001,43.419445,-80.530433,560007
10001,43.419365,-80.530855,560008
10001,43.419199,-80.532731,560009
10001,43.419114,-80.533123,560010
10001,43.418838,-80.533886,560011
10001,43.418485,-80.534893,560012
10001,43.418405,-80.535351,560013
10001,43.418405,-80.535351,570001
10001,43.418386,-80.535462,570002
10001,43.418367,-80.536048,570003
10001,43.418417,-80.536542,570004
10001,43.418472,-80.536786,570005
10001,43.418625,-80.537251,570006
10001,43.418966,-80.537990,570007
10001,43.419359,-80.538817,570008
10001,43.419120,-80.539029,570009
10001,43.419120,-80.539029,580001
10001,43.418525,-80.539554,580002
10001,43.418048,-80.539991,580003
10001,43.417692,-80.540290,580004
10001,43.417394,-80.540564,580005
