service_id,date,exception_type
12-Weekday-1-18SUM-1111100,20180822,1
12-Weekday-1-18SUM-1111100,20180823,1
12-Weekday-1-18SUM-1111100,20180824,1
12-Weekday-1-18SUM-1111100,20180827,1
12-Weekday-1-18SUM-1111100,20180828,1
12-Weekday-1-18SUM-1111100,20180829,1
12-Weekday-1-18SUM-1111100,20180830,1
12-Weekday-1-18SUM-1111100,20180831,1
13-Saturday-1-18SPRI-0000010,20180609,1
13-Saturday-1-18SPRI-0000010,20180616,1
13-Saturday-1-18SPRI-0000010,20180623,1
13-Saturday-1-18SUM-0000010,20180630,1
13-Saturday-1-18SUM-0000010,20180707,1
13-Saturday-1-18SUM-0000010,20180714,1
13-Saturday-1-18SUM-0000010,20180721,1
13-Saturday-1-18SUM-0000010,20180728,1
13-Saturday-1-18SUM-0000010,20180804,1
13-Saturday-1-18SUM-0000010,20180811,1
13-Saturday-1-18SUM-0000010,20180818,1
13-Saturday-1-18SUM-0000010,20180825,1
13-Saturday-1-18SUM-0000010,20180901,1
13-Sunday-1-18SPRI-0000001,20180610,1
13-Sunday-1-18SPRI-0000001,20180617,1
13-Sunday-1-18SPRI-0000001,20180624,1
13-Sunday-1-18SUM-0000001,20180701,1
13-Sunday-1-18SUM-0000001,20180702,1
13-Sunday-1-18SUM-0000001,20180708,1
13-Sunday-1-18SUM-0000001,20180715,1
13-Sunday-1-18SUM-0000001,20180722,1
13-Sunday-1-18SUM-0000001,20180729,1
13-Sunday-1-18SUM-0000001,20180805,1
13-Sunday-1-18SUM-0000001,20180812,1
13-Sunday-1-18SUM-0000001,20180819,1
13-Sunday-1-18SUM-0000001,20180826,1
13-Sunday-1-18SUM-0000001,20180902,1
13-Weekday-1-18SPRI-1111100,20180611,1
13-Weekday-1-18SPRI-1111100,20180612,1
13-Weekday-1-18SPRI-1111100,20180613,1
13-Weekday-1-18SPRI-1111100,20180614,1
13-Weekday-1-18SPRI-1111100,20180615,1
13-Weekday-1-18SPRI-1111100,20180618,1
13-Weekday-1-18SPRI-1111100,20180619,1
