stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
1111,1111,Laurelwood / Beaver Creek Road,,  43.472228, -80.579397,,,0,,1
1112,1112,Laurelwood / Laurel Gate,,  43.474317, -80.574585,,,0,,1
1113,1113,Fischer-Hallman / Path To Laurel Gate,,  43.472548, -80.571123,,,0,,1
1114,1114,Fischer-Hallman / Gatestone,,  43.470677, -80.568997,,,0,,1
1115,1115,Fischer-Hallman / Columbia,,  43.468554, -80.567133,,,0,,1
1116,1116,Columbia / Fischer-Hallman,,  43.467987, -80.564974,,,0,,1
1117,1117,Columbia / Beechlawn,,  43.469091, -80.561788,,,0,,1
1118,1118,Columbia / Old Post,,  43.469858, -80.559694,,,0,,1
1119,1119,Columbia / Ron Eydt Village,,  43.471381, -80.555467,,,0,,1
1120,1120,Columbia / Village 1,,  43.473163, -80.550483,,,0,,1
1121,1121,Chesapeake / Seawind,,  43.510993, -80.513805,,,0,,1
1122,1122,U.W. -  B.C. Matthews Hall,,  43.474187, -80.545443,,,0,,1
1123,1123,U.W. -  Davis Centre,,  43.472642, -80.541207,,,0,,1
1124,1124,U.W. -  Engineering,,  43.469382, -80.539409,,,0,,1
1125,1125,Conestoga Mall,,  43.498025, -80.528566,,http://www.grt.ca/en/schedules-maps/terminals-and-stations.aspx,0,place_CML,1
1126,1126,Conestoga Mall,,  43.498289, -80.529109,,http://www.grt.ca/en/schedules-maps/terminals-and-stations.aspx,0,place_CML,1
1127,1127,Conestoga Mall,,  43.498036, -80.528999,,http://www.grt.ca/en/schedules-maps/terminals-and-stations.aspx,0,place_CML,1
1128,1128,Conestoga Mall,,  43.498071, -80.528838,,http://www.grt.ca/en/schedules-maps/terminals-and-stations.aspx,0,place_CML,1
1129,1129,Conestoga Mall,,  43.498070, -80.528418,,http://www.grt.ca/en/schedules-maps/terminals-and-stations.aspx,0,place_CML,1
1130,1130,Conestoga Mall,,  43.498035, -80.528777,,http://www.grt.ca/en/schedules-maps/terminals-and-stations.aspx,0,place_CML,1
1131,1131,Northfield / King,,  43.501574, -80.534051,,,0,,1
1132,1132,Northfield / Colby,,  43.500382, -80.537431,,,0,,1
1133,1133,Chesapeake / Seawind,,  43.510669, -80.513894,,,0,,1
1134,1134,Northfield / Parkside,,  43.497320, -80.545678,,,0,place_PSN,1
1135,1135,Northfield / Parkside,,  43.496675, -80.547520,,,0,,1
1136,1136,Northfield / Weber,,  43.495584, -80.550713,,,0,,1
1137,1137,Northfield / Northgate,,  43.494480, -80.553763,,,0,,1
1138,1138,Northfield / Skylark,,  43.493625, -80.556182,,,0,,1
1139,1139,Northlake / Black Oak,,  43.494799, -80.557138,,,0,,1
1140,1140,Northlake / Green Meadow,,  43.494826, -80.559549,,,0,,1
1141,1141,Northlake / Pine Island,,  43.493955, -80.562524,,,0,,1
1142,1142,Highpoint / Cornerbrook,,  43.493243, -80.564755,,,0,,1
1143,1143,Highpoint / Wintergreen,,  43.491189, -80.564523,,,0,,1
1144,1144,Highpoint / Rolling Hills,,  43.488430, -80.563318,,,0,,1
1145,1145,Highpoint / Dogwood,,  43.486818, -80.563318,,,0,,1
